,id,title,popularity,release_date
228,359940,"Three Billboards Outside Ebbing, Missouri",20.299,2017-12-01
229,62,2001: A Space Odyssey,52.096,1968-04-02
230,823754,Bo Burnham: Inside,11.275,2021-07-22
231,992,Sherlock Jr.,11.224,1924-04-17
232,334543,Lion,21.445,2016-11-24
233,8392,My Neighbor Totoro,62.353,1988-04-16
234,1091,The Thing,59.671,1982-06-25
235,11645,Ran,19.741,1985-06-01
236,381284,Hidden Figures,49.029,2016-12-10
237,11423,Memories of Murder,41.465,2003-04-25
238,51482,Death Note Relight 1: Visions of a God,197.645,2007-08-31
239,640344,Me Against You: Mr. S's Vendetta,4.086,2020-01-17
240,42229,A Special Day,9.266,1977-08-11
241,800,The Young and the Damned,9.866,1950-12-09
242,26022,My Name Is Khan,18.057,2010-02-10
243,120467,The Grand Budapest Hotel,56.71,2014-02-26
244,400608,Bo Burnham: Make Happy,6.734,2016-06-03
245,310569,The Second Mother,11.523,2015-06-04
246,7347,Elite Squad,37.163,2007-10-12
247,785534,Paper Lives,15.653,2021-03-12
248,472454,Ayla: The Daughter of War,14.451,2017-10-27
249,821,Judgment at Nuremberg,17.719,1961-12-18
250,638507,How to Train Your Dragon: Homecoming,40.07,2019-12-03
251,1955,The Elephant Man,54.173,1980-10-09
252,31439,To Live,13.451,1994-05-18
253,538362,On My Skin,8.217,2018-09-12
254,106646,The Wolf of Wall Street,118.948,2013-12-25
255,8422,Rocco and His Brothers,9.906,1960-10-07
256,582,The Lives of Others,23.866,2006-03-23
257,838240,Robot Dreams,45.111,2023-12-06
258,279,Amadeus,30.157,1984-09-19
259,147,The 400 Blows,18.97,1959-06-03
260,9277,The Sting,25.493,1973-12-25
261,610461,"Veinteañera, divorciada y fantástica",5.781,2020-02-14
262,400928,Gifted,38.145,2017-04-07
263,204,The Wages of Fear,17.111,1953-04-22
264,521,Dial M for Murder,15.526,1954-05-29
265,962232,Beyond the Universe,11.058,2022-10-27
266,55960,"Toto, Peppino, and the Hussy",7.104,1956-08-23
267,515001,Jojo Rabbit,35.455,2019-10-18
268,43949,Flipped,42.842,2010-08-06
269,673,Harry Potter and the Prisoner of Azkaban,115.969,2004-05-31
270,641,Requiem for a Dream,21.238,2000-10-06
271,264644,Room,25.754,2015-10-16
272,938,For a Few Dollars More,26.986,1965-12-18
273,307,"Rome, Open City",9.877,1945-10-08
274,678580,El mesero,11.246,2021-07-15
275,14,American Beauty,29.518,1999-09-15
276,906126,Society of the Snow,48.072,2023-12-15
277,1000492,All Your Faces,10.591,2023-03-29
278,526702,Black Beauty,11.1,2020-11-27
279,28178,Hachi: A Dog's Tale,37.002,2009-06-08
280,359724,Ford v Ferrari,44.801,2019-11-13
281,524,Casino,36.119,1995-11-22
282,337404,Cruella,66.549,2021-05-26
283,3175,Barry Lyndon,27.551,1975-12-18
284,110416,Song of the Sea,14.34,2014-06-23
